iter	Passed	Remaining
957	48871	2142
958	48885	2090
959	48900	2037
960	48916	1985
961	48931	1932
962	48948	1880
963	48966	1828
964	48980	1776
965	48997	1724
966	49012	1672
967	49029	1620
968	49046	1569
969	49060	1517
970	49075	1465
971	49090	1414
972	49105	1362
973	49120	1311
974	49136	1259
975	49150	1208
976	49166	1157
977	49181	1106
978	49196	1055
979	49210	1004
980	49226	953
981	49242	902
982	49257	851
983	49272	801
984	49287	750
985	49303	700
986	49317	649
987	49332	599
988	49349	548
989	49364	498
990	49381	448
991	49396	398
992	49412	348
993	49427	298
994	49443	248
995	49459	198
996	49474	148
997	49489	99
998	49507	49
999	49523	0
